"","Adygey","Altay","Amur","Arkhangel'sk","Astrakhan'","Bashkortostan","Belgorod","Bryansk","Buryat","Chechnya","Chelyabinsk","Chukot","Chuvash","City of St. Petersburg","Dagestan","Gorno-Altay","Ingush","Irkutsk","Ivanovo","Kabardin-Balkar","Kaliningrad","Kalmyk","Kaluga","Kamchatka","Karachay-Cherkess","Karelia","Kemerovo","Khabarovsk","Khakass","Khanty-Mansiy","Kirov","Komi","Kostroma","Krasnodar","Krasnoyarsk","Kurgan","Kursk","Leningrad","Lipetsk","Maga Buryatdan","Mariy-El","Mordovia","Moscow City","Moskva","Murmansk","Nenets","Nizhegorod","North Ossetia","Novgorod","Novosibirsk","Omsk","Orel","Orenburg","Penza","Perm'","Primor'ye","Pskov","Rostov","Ryazan'","Sakha","Sakhalin","Samara","Saratov","Smolensk","Stavropol'","Sverdlovsk","Tambov","Tatarstan","Tomsk","Tula","Tuva","Tver'","Tyumen'","Udmurt","Ul'yanovsk","Vladimir","Volgograd","Vologda","Voronezh","Yamal-Nenets","Yaroslavl'","Yevrey","Zabaykal'ye"
"Stavropol Krai",10,9,9,11,10,11,8,9,9,10,11,9,9,19,9,10,10,9,7,13,11,9,9,9,16,8,7,8,9,12,8,9,8,8,9,9,9,10,10,12,8,9,11,9,9,10,9,12,7,11,10,8,10,10,9,9,9,9,9,8,8,8,6,9,1,8,8,8,9,9,9,9,10,9,10,9,9,9,8,11,8,8,10
"Sverdlovsk Oblast",10,10,10,11,10,12,9,8,10,10,9,10,10,20,11,11,10,8,8,12,11,9,10,10,16,9,8,7,10,12,8,10,10,10,10,10,8,10,9,14,10,7,11,9,8,9,10,12,10,9,9,9,10,10,9,9,9,9,11,10,9,10,7,7,9,1,9,11,8,10,10,8,11,10,7,10,10,9,9,12,9,9,11
"Tambov Oblast",7,7,6,11,9,11,7,7,7,8,10,6,7,20,7,10,7,7,5,14,10,6,6,7,16,6,5,7,7,12,5,6,7,7,9,7,7,9,7,13,7,6,9,6,7,7,9,13,7,10,6,7,7,7,7,8,5,5,7,6,7,5,5,8,8,8,1,7,5,6,5,6,6,6,8,7,8,7,8,10,8,7,10
"Tatarstan",9,7,8,11,7,7,9,7,7,8,10,8,8,19,4,9,8,8,8,11,9,8,7,7,14,7,8,7,7,10,8,9,7,8,9,6,7,8,8,8,8,8,11,8,8,8,10,10,9,11,8,8,9,8,8,9,8,7,7,7,7,5,6,9,8,10,7,0,7,7,7,7,8,7,9,8,8,8,9,9,8,8,9
"Tomsk Oblast",6,6,5,11,9,11,8,6,6,8,10,6,7,20,7,10,6,6,7,14,11,5,6,7,16,7,7,8,7,12,6,4,7,8,9,6,4,9,6,14,8,7,9,4,6,6,10,11,7,9,3,6,8,6,6,8,5,5,7,6,8,5,7,6,9,8,4,7,1,5,5,5,5,5,8,8,8,6,7,11,9,6,10
"Tula Oblast",6,4,5,11,9,12,7,6,4,8,9,5,5,21,7,9,6,6,7,13,9,5,5,8,16,6,8,9,6,12,5,5,8,8,10,4,4,8,7,12,8,8,10,6,6,6,10,12,8,11,5,5,8,5,5,9,5,6,6,5,7,5,6,7,10,9,5,7,4,1,2,4,5,6,9,7,7,6,8,11,8,6,10
"Tuva",6,4,4,11,9,12,8,6,4,7,10,5,4,21,7,10,5,6,6,14,10,6,4,8,16,6,7,9,6,12,5,4,7,8,10,4,4,8,7,12,8,6,11,4,6,6,10,12,7,10,4,4,7,4,5,9,5,6,6,4,7,5,6,8,9,9,5,7,4,1,0,4,5,5,9,8,8,6,8,11,9,5,10
"Tver Oblast",6,5,4,11,9,12,7,7,6,7,10,6,6,20,7,11,6,7,6,14,10,6,6,9,15,6,6,9,7,13,5,5,7,9,10,6,5,8,6,13,8,8,10,6,8,5,8,12,6,9,5,4,6,5,4,8,5,6,7,5,8,5,7,7,9,7,5,7,4,4,4,1,5,5,10,8,8,7,7,11,10,5,11
"Tyumen Oblast",6,7,6,11,9,13,8,7,6,7,9,6,6,20,8,11,7,7,7,14,10,6,7,9,15,7,7,10,7,11,7,6,8,9,11,6,6,9,7,13,8,8,10,7,6,6,9,12,8,11,6,6,8,6,6,8,7,7,5,7,8,6,7,6,10,10,5,8,5,5,5,5,1,6,9,8,9,7,7,10,10,6,10
"Udmurtia",7,7,5,12,9,10,8,8,6,7,10,7,7,21,7,10,7,6,8,12,10,8,6,6,16,6,6,9,8,12,7,6,6,8,10,6,6,8,7,10,8,6,10,7,8,7,10,10,8,10,7,7,8,7,7,7,8,7,8,7,7,5,7,8,9,10,7,7,7,6,6,7,7,2,9,7,8,7,8,11,10,7,11
"Ulyanovsk Oblast",9,8,10,9,10,11,9,5,9,10,7,9,9,20,9,10,8,8,6,12,10,8,9,9,15,9,8,6,8,11,8,9,9,8,8,9,8,9,8,13,9,8,11,8,7,8,10,12,9,10,8,10,9,9,10,9,8,8,8,9,9,9,7,8,9,7,8,9,7,9,9,9,9,9,2,8,9,9,9,11,10,9,10
"Vladimir Oblast",8,8,7,11,10,12,9,9,9,9,9,9,9,21,8,11,9,9,8,12,8,7,8,9,15,7,9,9,8,12,8,7,9,8,9,9,9,8,9,13,7,7,10,9,9,9,9,13,9,8,8,9,8,9,8,8,9,9,8,8,8,6,8,9,9,9,7,9,8,8,9,8,8,6,9,1,8,8,8,11,10,9,10
"Volgograd Oblast",9,8,9,11,9,11,5,10,9,9,10,9,9,20,8,9,9,10,9,14,7,9,7,10,16,9,9,10,9,12,9,9,8,9,10,8,9,6,10,11,10,7,9,8,10,10,8,12,5,10,10,9,9,9,9,8,9,8,9,9,10,8,9,9,10,10,9,9,9,8,9,9,10,9,10,8,1,4,7,11,9,9,11
"Vologda Oblast",7,6,8,11,9,10,7,8,7,8,10,8,8,20,7,8,7,8,8,13,8,7,5,9,16,7,8,10,8,12,7,7,7,7,10,6,8,7,8,12,8,6,9,6,8,8,9,12,7,9,8,8,8,7,8,8,7,7,8,7,8,7,8,7,9,9,8,8,7,6,7,8,8,8,10,7,3,1,5,11,8,8,10
"Voronezh Oblast",8,9,9,10,9,11,9,8,8,9,11,9,8,20,9,8,8,8,8,13,10,9,9,9,15,7,9,10,9,13,7,8,8,8,10,8,8,8,8,13,8,7,9,8,8,7,10,10,8,9,9,7,7,7,8,9,8,8,9,8,9,9,8,7,9,9,9,9,8,9,9,8,8,9,9,8,7,6,1,11,8,8,11
"Yamalo-Nenets Autonomous Okrug",14,13,14,13,14,12,14,12,14,14,12,13,14,18,12,12,13,13,13,13,12,13,13,12,13,13,13,12,13,12,14,14,14,13,13,14,14,14,12,12,13,14,13,14,12,9,14,13,14,13,13,14,13,13,14,13,14,13,13,14,12,12,12,10,14,13,12,12,13,14,14,14,13,13,12,14,14,13,12,3,12,13,12
"Yaroslavl Oblast",10,9,10,11,9,10,10,8,8,10,11,10,9,20,7,9,9,9,8,12,10,8,8,8,14,7,9,9,9,11,7,9,8,8,9,8,8,10,10,12,7,8,10,7,8,10,10,11,9,9,9,8,9,9,9,9,8,7,9,8,8,8,7,8,8,8,8,8,9,8,9,10,10,10,9,10,9,8,8,10,1,9,9
"Zabaykalsky Krai",10,10,12,10,11,11,12,8,10,11,10,11,10,21,10,10,11,9,11,10,11,9,10,9,13,10,12,8,8,9,12,12,12,11,9,11,10,12,10,12,9,12,11,10,9,11,12,12,12,11,10,11,12,11,12,11,10,11,10,10,9,9,10,10,11,10,11,9,10,11,11,12,11,12,10,11,12,11,12,10,10,11,3
"Baikonur",8,8,6,11,9,9,6,6,7,7,10,6,8,19,7,10,8,7,7,12,7,7,7,8,15,7,8,8,7,11,6,7,8,6,8,7,8,8,7,11,7,7,10,7,7,8,9,13,7,10,7,8,7,7,8,7,6,7,7,6,7,7,7,7,8,9,6,8,7,8,8,8,7,7,9,7,8,7,7,10,9,8,9
"Russians abroad",15,14,14,13,12,13,12,12,12,13,13,14,13,20,13,13,14,14,12,13,10,14,13,12,15,13,13,12,13,14,12,14,12,11,11,12,13,10,14,13,14,14,13,13,11,14,11,13,12,13,14,14,13,13,14,13,13,12,12,13,13,11,12,13,13,15,12,12,14,13,13,14,14,14,13,13,12,14,14,14,13,14,13
